name,physical_address,postal_address,phone_number
Holy Spirit Catholic School,"Gsell Street, NT, Casuarina","PO Box 40030, NT, Casuarina, 0810",(08) 8927 3411
Howard Springs Pre School,"295 Whitewood Rd, NT, Howard Springs",",",(08) 8983 0000
Howard Springs Primary School,"295 Whitewood Rd, NT, Howard Springs, 0835","PO Box 171, NT, HOWARD SPRINGS, 0835",(08) 898 30000
Humpty Doo Pre School,"50 Freds Pass Rd, NT, Humpty Doo",",",(08) 792 30400
Humpty Doo Primary School,"50 Freds Pass Rd, NT, Humpty Doo, 0836","PO Box 46, NT, HUMPTY DOO, 0836",(08) 792 30400
Ida Standley Pre School,"15 Parke Cres, NT, Alice Springs",",",(08) 8952 1040
Imanpa School,"N/A, NT, Imanpa","PMB 76, NT, via Alice Springs, 0872",(08) 8956 7483
Jabiru Area School,"40 Waterhouse Rd, NT, Jabiru","PO Box 246, NT, Jabiru, 0886",(08) 8938 3333
Jabiru Pre School,"40 Waterhouse Rd, NT, Jabiru",",",(08) 8938 3333
Jilkminggan School,"N/A, NT, Jilkminggan (Duck Creek)","PO Box 4054, NT, Mataranka, 0852",(08) 8975 4896
Jingili Preschool,"10 Jingili Tce, NT, Jingili",",",(08) 8985 3495
Jingili Primary School,"17 Rindberg St, NT, Jingili, 0810","PO Box 40600, NT, CASUARINA, 0810",(08) 898 37555
Kalkaringi Pre School,"Whitlam St, NT, Kalkaringi (Wave hill)",",",(08) 8965 1888
Kalkaringi School,"Whitlam st, NT, Kalkaringi (Wave hill)","PMB 41, NT, KATHERINE, 0852",(08) 896 51888
Karama Pre School,"37 Livistona Rd, NT, Karama",",",(08) 898 37711
Karama Primary School,"37 Livistona Rd, NT, Karama, 0812","PO Box 103, NT, Karama, 0813",(08) 898 37700
Katherine Flexible Learning Centre,"5 Kintore St, NT, Katherine, 0850","PO Box 189, NT, Katherine, 0851",(08) 897 38200
Katherine High School,"Grevillea Rd, NT, Katherine East, 0850","PO Box 189, NT, KATHERINE, 0851",(08) 897 38200
Katherine School Of The Air,"101 Giles St, NT, Katherine, 0850","PO Box 531, NT, KATHERINE, 0851",(08) 896 51555
Katherine South Pre School,"Riverbank Drive, NT, Katherine",",",(08) 8972 1277
Katherine South Primary School,"Riverbank Dr, NT, Katherine, 0850","PO Box 721, NT, KATHERINE, 0851",(08) 8972 1277
Kiana School,"N/A, NT, Kiana","PMB 33, NT, via Tennanat Creek, 0861",(08) 8975 9820
Kintore Street Pre School,"11 Kintore St, NT, Katherine",",",(08) 8973 3888
Kintore Street School,"11 Kintore St, NT, Katherine, 0872","PO Box 1931, NT, KATHERINE, 0851",(08) 8973 3888
Lajamanu Pre School,"N/A, NT, Lajamanu (Hooker Ck)",",",(08) 89750 946
Lajamanu School,"N/A, NT, Lajamanu ( Hooker Ck)","PMB 63, NT, via Katherine, 0851",(08) 8975 0946
Laramba School,"N/A, NT, Laramba (Napperby)","PMB 213, NT, via Alice Springs, 0872",(08) 8956 8771
Larapinta Pre School,"22 Albrecht Dr, NT, Alice Springs",",",(08) 895 85145
Larapinta Primary School,"22 Albrecht Dr, NT, Alice Springs","PO Box 9021, NT, ALICE SPRINGS, 0871",(08) 895 85155
Larrakeyah Pre School,"3 Packard St, NT, Larrakeyah",",",(08) 8981 9091
Larrakeyah Primary School,"3 Packard St, NT, Larrakeyah, 0820","PO Box 412, NT, DARWIN, 0801",(08) 8981 3211
